team.Abbreviation,stat,value,foragainst
NYK,FTA,23,against
OKL,FTA,21.1,against
ORL,FTA,21.5,against
PHI,FTA,25.7,against
PHX,FTA,25.2,against
POR,FTA,21.7,against
SAC,FTA,21.3,against
SAS,FTA,18.5,against
TOR,FTA,23.9,against
UTA,FTA,20.6,against
WAS,FTA,23.7,against
ATL,X2PCT,0.522,against
BOS,X2PCT,0.483,against
BRO,X2PCT,0.503,against
CHA,X2PCT,0.518,against
CHI,X2PCT,0.528,against
CLE,X2PCT,0.53,against
DAL,X2PCT,0.526,against
DEN,X2PCT,0.531,against
DET,X2PCT,0.513,against
GSW,X2PCT,0.484,against
HOU,X2PCT,0.518,against
IND,X2PCT,0.529,against
LAC,X2PCT,0.505,against
LAL,X2PCT,0.512,against
MEM,X2PCT,0.509,against
MIA,X2PCT,0.495,against
MIL,X2PCT,0.513,against
MIN,X2PCT,0.542,against
NOP,X2PCT,0.504,against
NYK,X2PCT,0.503,against
OKL,X2PCT,0.509,against
ORL,X2PCT,0.52,against
PHI,X2PCT,0.487,against
PHX,X2PCT,0.523,against
POR,X2PCT,0.485,against
SAC,X2PCT,0.529,against
SAS,X2PCT,0.497,against
TOR,X2PCT,0.489,against
UTA,X2PCT,0.491,against
WAS,X2PCT,0.523,against
ATL,X3PCT,0.383,against
BOS,X3PCT,0.341,against
BRO,X3PCT,0.368,against
CHA,X3PCT,0.376,against
CHI,X3PCT,0.37,against
CLE,X3PCT,0.37,against
DAL,X3PCT,0.365,against
DEN,X3PCT,0.373,against
DET,X3PCT,0.371,against
GSW,X3PCT,0.356,against
HOU,X3PCT,0.359,against
IND,X3PCT,0.35,against
LAC,X3PCT,0.355,against
LAL,X3PCT,0.351,against
MEM,X3PCT,0.364,against
MIA,X3PCT,0.363,against
MIL,X3PCT,0.367,against
MIN,X3PCT,0.362,against
NOP,X3PCT,0.356,against
NYK,X3PCT,0.373,against
OKL,X3PCT,0.37,against
ORL,X3PCT,0.365,against
PHI,X3PCT,0.344,against
PHX,X3PCT,0.372,against
POR,X3PCT,0.361,against
SAC,X3PCT,0.384,against
SAS,X3PCT,0.35,against
TOR,X3PCT,0.351,against
UTA,X3PCT,0.362,against
WAS,X3PCT,0.344,against
ATL,FTPCT,0.769,against
BOS,FTPCT,0.767,against
BRO,FTPCT,0.768,against
CHA,FTPCT,0.798,against
CHI,FTPCT,0.784,against
CLE,FTPCT,0.742,against
DAL,FTPCT,0.762,against
DEN,FTPCT,0.739,against
DET,FTPCT,0.788,against
GSW,FTPCT,0.758,against
HOU,FTPCT,0.753,against
IND,FTPCT,0.754,against
LAC,FTPCT,0.784,against
LAL,FTPCT,0.765,against
MEM,FTPCT,0.768,against
MIA,FTPCT,0.785,against
MIL,FTPCT,0.781,against
MIN,FTPCT,0.779,against
NOP,FTPCT,0.787,against
NYK,FTPCT,0.774,against
OKL,FTPCT,0.763,against
ORL,FTPCT,0.777,against
PHI,FTPCT,0.755,against
PHX,FTPCT,0.77,against
POR,FTPCT,0.76,against
SAC,FTPCT,0.77,against
SAS,FTPCT,0.757,against
TOR,FTPCT,0.766,against
UTA,FTPCT,0.772,against
WAS,FTPCT,0.764,against
ATL,FGPCT,0.473,against
BOS,FGPCT,0.438,against
BRO,FGPCT,0.466,against
CHA,FGPCT,0.47,against
CHI,FGPCT,0.471,against
CLE,FGPCT,0.472,against
DAL,FGPCT,0.469,against
DEN,FGPCT,0.478,against
DET,FGPCT,0.462,against
GSW,FGPCT,0.442,against
HOU,FGPCT,0.464,against
IND,FGPCT,0.464,against
LAC,FGPCT,0.453,against
LAL,FGPCT,0.458,against
MEM,FGPCT,0.458,against
MIA,FGPCT,0.454,against
MIL,FGPCT,0.466,against
MIN,FGPCT,0.479,against
NOP,FGPCT,0.455,against
NYK,FGPCT,0.456,against
OKL,FGPCT,0.459,against
ORL,FGPCT,0.473,against
PHI,FGPCT,0.439,against
PHX,FGPCT,0.473,against
POR,FGPCT,0.447,against
SAC,FGPCT,0.473,against
SAS,FGPCT,0.45,against
TOR,FGPCT,0.448,against
UTA,FGPCT,0.45,against
WAS,FGPCT,0.461,against
BOS,eFG%,0.5181498829039812,for
BOS,ORB%,0.29787234042553196,for
BOS,FTR,0.18501170960187352,for
BOS,TOV%,0.12255357076540273,for
BOS,eFG%,0.4917647058823529,against
BOS,ORB%,0.2935606060606061,against
BOS,FTR,0.19764705882352943,against
BOS,TOV%,0.12484279056003551,against
HOU,eFG%,0.5552913198573128,for
HOU,ORB%,0.297029702970297,for
HOU,FTR,0.24137931034482762,for
HOU,TOV%,0.1231029287472899,for
HOU,eFG%,0.5245614035087719,against
HOU,ORB%,0.2871287128712871,against
HOU,FTR,0.1742690058479532,against
HOU,TOV%,0.1293756699811481,against
CHA,eFG%,0.5034602076124568,for
CHA,ORB%,0.3175182481751825,for
CHA,FTR,0.22837370242214533,for
CHA,TOV%,0.11021573374769629,for
CHA,eFG%,0.5339470655926352,against
CHA,ORB%,0.2620967741935484,against
CHA,FTR,0.17261219792865362,against
CHA,TOV%,0.12342040305051025,against
PHI,eFG%,0.5287221570926142,for
PHI,ORB%,0.32745098039215687,for
PHI,FTR,0.20750293083235635,for
PHI,TOV%,0.1456709801958962,for
PHI,eFG%,0.4965517241379311,against
PHI,ORB%,0.3090909090909091,against
PHI,FTR,0.22298850574712642,against
PHI,TOV%,0.12152839832719735,against
BRO,eFG%,0.508036739380023,for
BRO,ORB%,0.287569573283859,for
BRO,FTR,0.20206659012629166,for
BRO,TOV%,0.1284308090242851,for
BRO,eFG%,0.5167973124300111,against
BRO,ORB%,0.3018867924528302,against
BRO,FTR,0.20044792833146696,against
BRO,TOV%,0.10757314974182444,against
MIA,eFG%,0.5189125295508275,for
MIA,ORB%,0.29527559055118113,for
MIA,FTR,0.17375886524822695,for
MIA,TOV%,0.12899607403252947,for
MIA,eFG%,0.5102533172496984,against
MIA,ORB%,0.284,against
MIA,FTR,0.21592279855247282,against
MIA,TOV%,0.12847925575812139,against
MIL,eFG%,0.5299511002444988,for
MIL,ORB%,0.2833333333333333,for
MIL,FTR,0.22738386308068462,for
MIL,TOV%,0.1250995109746389,for
MIL,eFG%,0.5252707581227438,against
MIL,ORB%,0.3218623481781377,against
MIL,FTR,0.2226233453670277,against
MIL,TOV%,0.1350251553714117,against
NOP,eFG%,0.5409556313993175,for
NOP,ORB%,0.2763419483101392,for
NOP,FTR,0.18771331058020477,for
NOP,TOV%,0.13045498409521428,for
NOP,eFG%,0.5141766630316249,against
NOP,ORB%,0.29944547134935307,against
NOP,FTR,0.18102508178844057,against
NOP,TOV%,0.11945868647762546,against
ATL,eFG%,0.5123239436619718,for
ATL,ORB%,0.29687499999999994,for
ATL,FTR,0.1936619718309859,for
ATL,TOV%,0.1379600190037642,for
ATL,eFG%,0.5406976744186046,against
ATL,ORB%,0.3213572854291417,against
ATL,FTR,0.18953488372093025,against
ATL,TOV%,0.13674068171116022,against
DEN,eFG%,0.5359212050984936,for
DEN,ORB%,0.3326771653543307,for
DEN,FTR,0.1946697566628042,for
DEN,TOV%,0.13203110869958404,for
DEN,eFG%,0.5402097902097902,against
DEN,ORB%,0.29518072289156627,against
DEN,FTR,0.17482517482517482,against
DEN,TOV%,0.12634646598790025,against
MIN,eFG%,0.5273573923166472,for
MIN,ORB%,0.3265720081135903,for
MIN,FTR,0.2258440046565774,for
MIN,TOV%,0.10890833241038138,for
MIN,eFG%,0.542654028436019,against
MIN,ORB%,0.31055900621118016,against
MIN,FTR,0.18838862559241706,against
MIN,TOV%,0.135215233014744,against
POR,eFG%,0.5132794457274827,for
POR,ORB%,0.3087378640776699,for
POR,FTR,0.19745958429561203,for
POR,TOV%,0.12091012347488367,for
POR,eFG%,0.5023255813953489,against
POR,ORB%,0.28842504743833014,against
POR,FTR,0.19186046511627908,against
POR,TOV%,0.11568932326373463,against
CHI,eFG%,0.5016891891891891,for
CHI,ORB%,0.28044280442804426,for
CHI,FTR,0.16666666666666669,for
CHI,TOV%,0.11786892975011787,for
CHI,eFG%,0.5380622837370241,against
CHI,ORB%,0.26785714285714285,against
CHI,FTR,0.18800461361014995,against
CHI,TOV%,0.11699462008991081,against
NYK,eFG%,0.5086107921928817,for
NYK,ORB%,0.3181818181818182,for
NYK,FTR,0.17795637198622274,for
NYK,TOV%,0.13149780534697283,for
NYK,eFG%,0.5227008149010478,against
NYK,ORB%,0.30694980694980695,against
NYK,FTR,0.20721769499417927,against
NYK,TOV%,0.12005131964809383,against
LAC,eFG%,0.5275498241500587,for
LAC,ORB%,0.318359375,for
LAC,FTR,0.2250879249706917,for
LAC,TOV%,0.12830243232498464,for
LAC,eFG%,0.5148401826484019,against
LAC,ORB%,0.31499051233396586,against
LAC,FTR,0.2077625570776256,against
LAC,TOV%,0.12521465369204351,against
DET,eFG%,0.5075057736720555,for
DET,ORB%,0.30303030303030304,for
DET,FTR,0.1697459584295612,for
DET,TOV%,0.1216948777519637,for
DET,eFG%,0.5284360189573458,against
DET,ORB%,0.29292929292929293,against
DET,FTR,0.1800947867298578,against
DET,TOV%,0.134213175260038,against
CLE,eFG%,0.546099290780142,for
CLE,ORB%,0.2718052738336714,for
CLE,FTR,0.2115839243498818,for
CLE,TOV%,0.1255539143279173,for
CLE,eFG%,0.5389830508474577,against
CLE,ORB%,0.3075435203094778,against
CLE,FTR,0.16610169491525423,against
CLE,TOV%,0.11715344376634698,against
ORL,eFG%,0.5211019929660023,for
ORL,ORB%,0.28180039138943247,for
ORL,FTR,0.18640093786635406,for
ORL,TOV%,0.1314918346329263,for
ORL,eFG%,0.5285062713797035,against
ORL,ORB%,0.32023575638506874,against
ORL,FTR,0.1904218928164196,against
ORL,TOV%,0.12199530092174228,against
UTA,eFG%,0.5236363636363637,for
UTA,ORB%,0.2845528455284553,for
UTA,FTR,0.20242424242424242,for
UTA,TOV%,0.13305401426791982,for
UTA,eFG%,0.5078787878787878,against
UTA,ORB%,0.2745490981963927,against
UTA,FTR,0.19272727272727272,against
UTA,TOV%,0.1383347135436272,against
SAC,eFG%,0.5046457607433218,for
SAC,ORB%,0.2912621359223301,for
SAC,FTR,0.14634146341463417,for
SAC,TOV%,0.12443862275449102,for
SAC,eFG%,0.5471014492753623,against
SAC,ORB%,0.3119834710743802,against
SAC,FTR,0.19806763285024154,against
SAC,TOV%,0.13186150774215424,against
GSW,eFG%,0.5775558166862514,for
GSW,ORB%,0.28070175438596495,for
GSW,FTR,0.20211515863689777,for
GSW,TOV%,0.13949163050216987,for
GSW,eFG%,0.5,against
GSW,ORB%,0.3231597845601436,against
GSW,FTR,0.1902654867256637,against
GSW,TOV%,0.1185375105366676,against
LAL,eFG%,0.5185185185185186,for
LAL,ORB%,0.3241758241758242,for
LAL,FTR,0.18294051627384963,for
LAL,TOV%,0.1343570057581574,for
LAL,eFG%,0.5167037861915368,against
LAL,ORB%,0.30797773654916516,against
LAL,FTR,0.19265033407572385,against
LAL,TOV%,0.12385369452935596,against
IND,eFG%,0.5273255813953488,for
IND,ORB%,0.301010101010101,for
IND,FTR,0.17674418604651163,for
IND,TOV%,0.12160706991942372,for
IND,eFG%,0.5270906949352179,against
IND,ORB%,0.3101391650099403,against
IND,FTR,0.17667844522968196,against
IND,TOV%,0.1356639226254199,against
DAL,eFG%,0.5152046783625731,for
DAL,ORB%,0.2577519379844962,for
DAL,FTR,0.1719298245614035,for
DAL,TOV%,0.11247211825639862,for
DAL,eFG%,0.5336538461538463,against
DAL,ORB%,0.28861788617886175,against
DAL,FTR,0.19591346153846154,against
DAL,TOV%,0.12886113096805749,against
SAS,eFG%,0.5082159624413146,for
SAS,ORB%,0.30632411067193677,for
SAS,FTR,0.1854460093896714,for
SAS,TOV%,0.12052470289259287,for
SAS,eFG%,0.5053317535545023,against
SAS,ORB%,0.28937007874015747,against
SAS,FTR,0.16587677725118483,against
SAS,TOV%,0.1281326549839834,against
OKL,eFG%,0.5164960182025028,for
OKL,ORB%,0.36279926335174956,for
OKL,FTR,0.1899886234357224,for
OKL,TOV%,0.12165014848474007,for
OKL,eFG%,0.5262843488649941,against
OKL,ORB%,0.312,against
OKL,FTR,0.1923536439665472,against
OKL,TOV%,0.14050136803963614,against
PHX,eFG%,0.4948394495412844,for
PHX,ORB%,0.31078610603290674,for
PHX,FTR,0.20871559633027523,for
PHX,TOV%,0.13358576028875757,for
PHX,eFG%,0.5344632768361582,against
PHX,ORB%,0.3135755258126195,against
PHX,FTR,0.2192090395480226,against
PHX,TOV%,0.11546523608199809,against
MEM,eFG%,0.4981729598051157,for
MEM,ORB%,0.3021868787276342,for
MEM,FTR,0.20828258221680881,for
MEM,TOV%,0.13584393041772008,for
MEM,eFG%,0.5219573400250941,against
MEM,ORB%,0.3204868154158215,against
MEM,FTR,0.26097867001254704,against
MEM,TOV%,0.13254563356812846,against
TOR,eFG%,0.5388571428571428,for
TOR,ORB%,0.30769230769230765,for
TOR,FTR,0.208,for
TOR,TOV%,0.11605977078195272,for
TOR,eFG%,0.5,against
TOR,ORB%,0.32190476190476186,against
TOR,FTR,0.21428571428571427,against
TOR,TOV%,0.1305341020341564,against
WAS,eFG%,0.5257009345794393,for
WAS,ORB%,0.3134920634920635,for
WAS,FTR,0.20210280373831777,for
WAS,TOV%,0.12790527700628565,for
WAS,eFG%,0.5200945626477542,against
WAS,ORB%,0.30859375,against
WAS,FTR,0.21394799054373526,against
WAS,TOV%,0.13159337646671784,against
